148	103
151	102
149	109
152	108
151	154
152	160
154	155
155	161
145	50
148	48
146	56
149	54
154	208
157	210
158	216
155	214
199	32
199	39
203	30
203	37
202	98
203	105
207	97
207	105
206	162
207	169
210	163
211	170
209	229
214	232
215	239
210	237
142	4
103	20
105	18
106	24
103	26
105	63
107	62
108	67
105	69
108	107
110	106
111	111
108	112
110	148
113	149
113	154
111	154
113	192
115	193
116	199
113	198
114	234
117	236
108	241
113	243
74	5
71	2
71	8
73	38
75	36
76	41
73	43
75	74
76	78
77	72
78	77
77	110
79	109
77	114
80	113
79	144
81	144
80	148
82	149
81	180
83	181
84	186
82	185
83	215
85	217
77	221
82	224
47	23
49	22
49	25
47	28
48	53
50	52
49	57
51	55
50	82
52	81
53	85
50	86
52	112
54	111
52	115
54	115
53	140
55	141
56	145
54	144
55	170
56	174
58	175
57	171
58	175
56	198
59	201
23	23
24	43
46	24
25	66
25	70
26	90
27	93
28	113
28	117
29	137
30	141
31	160
31	164
32	184
18	20
23	69
24	78
27	129
27	138
30	188
10	193
6	194
51	204
29	210
22	211
2	219
43	229
15	236
49	228
48	231
75	250
72	254
67	251
9	237
11	239
17	238
78	252
