60	130
79	120
104	106
112	102
108	90
107	95
18	138
24	140
14	156
20	163
27	169
44	161
49	167
50	170
51	157
11	77
13	46
31	65
56	50
29	95
47	84
36	142
67	138
74	145
93	136
119	123
126	119
131	92
138	101
144	108
4	109
86	128
40	31
47	25
73	70
81	65
197	41
178	9
186	3
188	62
194	71
200	79
202	43
208	50
217	45
248	28
6	244
94	203
117	192
161	172
132	207
149	199
118	242
135	245
122	243
118	242
128	248
158	235
176	228
136	184
164	241
170	248
188	240
182	234
201	217
132	125
137	126
204	205
201	217
208	214
230	213
232	213
227	206
238	220
225	233
204	209
231	233
231	64
222	69
226	76
225	80
122	168
104	177
220	227
213	230
80	188
74	192
107	217
101	221
254	38
250	106
249	189
195	253
