134	172
128	168
115	201
122	203
121	163
109	199
107	204
46	40
29	73
54	46
36	78
142	120
130	145
148	179
137	212
147	124
153	129
142	153
136	149
50	33
57	40
165	82
168	77
174	80
179	82
170	87
175	91
188	97
186	102
191	47
194	42
201	46
205	48
195	52
199	57
219	16
223	12
229	15
233	17
238	34
234	39
212	64
209	69
168	133
166	138
155	161
145	115
152	117
157	120
222	22
225	26
17	99
25	104
7	152
6	157
136	216
121	210
98	246
105	247
97	250
104	251
114	207
112	247
111	254
255	125
240	147
244	151
237	151
241	154
224	176
222	180
228	179
213	197
218	200
207	213
211	215
203	240
202	244
197	242
226	183
199	238
