27	51
27	73
54	52
54	75
31	54
31	71
54	54
54	72
127	53
127	80
169	54
169	83
135	57
135	76
167	78
167	58
138	59
137	74
167	60
167	76
27	119
26	153
71	125
70	163
33	123
33	148
70	129
70	158
33	132
33	140
42	124
42	133
42	142
42	150
50	126
50	134
50	143
50	153
62	128
62	137
62	146
62	155
70	138
70	147
126	135
125	176
193	145
191	192
135	141
135	171
158	144
157	176
135	151
135	161
147	143
147	153
147	163
147	174
158	155
158	165
161	145
161	177
174	147
187	149
186	182
174	157
173	168
173	179
161	156
161	166
187	160
187	171
25	198
25	231
69	212
68	248
32	203
32	227
68	214
68	243
32	211
32	220
40	205
40	213
40	222
40	230
49	208
49	216
49	225
49	235
60	212
60	220
60	229
60	237
124	230
132	236
132	246
144	240
144	250
155	244
170	248
189	252
155	254
185	254
