31	14
31	18
34	14
34	17
34	69
37	69
34	72
37	72
37	123
37	127
40	123
41	127
41	177
44	177
41	180
44	180
43	229
44	232
47	233
46	230
47	13
47	17
50	13
50	17
50	69
50	72
53	69
53	72
53	123
53	127
56	123
57	127
56	177
57	180
59	177
60	180
59	230
59	233
62	230
62	233
98	11
98	15
102	10
102	14
101	68
101	71
104	68
105	71
104	124
104	127
107	124
107	127
106	179
106	182
110	179
110	182
109	233
109	236
112	233
113	236
158	9
162	8
158	12
162	12
176	8
177	11
180	7
161	67
161	70
164	66
164	70
178	67
179	70
182	66
182	70
163	124
163	128
166	124
167	128
180	124
181	128
184	124
184	128
165	180
165	184
169	181
169	184
183	181
183	185
186	185
186	181
167	235
167	239
170	236
171	240
184	237
185	240
188	237
188	241
234	5
234	9
238	5
238	9
236	66
236	70
239	66
240	69
238	125
241	125
242	129
239	183
239	187
243	183
243	187
240	240
244	240
244	244
240	244
180	11
238	129
